id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,duplicate_id
688047,1978-01-20T04:42:55,-70.45,-34.456,107.2,5.6,mw,12.0,64.0,-86.0,183.0,26.0,-98.0,44.93695091798258,279.011350970108,5.821685450541441,14.850413378983262,44.47352489455501,110.59545555138448,-2.59,0.46,2.13,-0.54,-1.82,0.19,gem,13_gem
B012078A,1978-01-20T04:42:57,-70.19,-34.28,132.0,5.6,mwc,183.0,26.0,-98.0,12.0,64.0,-86.0,19.0,99.0,4.0,190.0,70.0,291.0,,,,,,,us,13_us
B012078A,1978-01-20T04:43:03,-70.04,-34.55,109.3,5.7,mw,183.0,26.0,-98.0,12.0,64.0,-86.0,19.0,99.0,4.0,190.0,70.0,291.0,-2.592e+17,4.56e+16,2.136e+17,-5.36e+16,-1.819e+17,1.94e+16,gcmt,13_gcmt
686607,1978-02-17T06:43:29,-71.347,-28.737,40.5,5.33,mw,18.0,77.0,109.0,141.0,23.0,35.0,40.05176621308839,131.14366994350104,20.400283242828944,22.92550360783838,42.9601788786576,272.6630133976578,5.82,-0.2,-5.62,5.21,9.22,2.38,gem,291_gem
B021778B,1978-02-17T06:43:30,-71.02,-28.57,55.0,5.3,mwc,141.0,23.0,35.0,18.0,77.0,109.0,54.0,311.0,18.0,194.0,30.0,93.0,,,,,,,us,291_us
B021778B,1978-02-17T06:43:33,-71.47,-28.59,66.0,5.7,mw,141.0,23.0,35.0,18.0,77.0,109.0,54.0,311.0,18.0,194.0,30.0,93.0,5.823e+16,-2030000000000000.0,-5.62e+16,5.207e+16,9.218e+16,2.379e+16,gcmt,291_gcmt
682971,1978-05-29T17:20:28,-79.406,-44.905,15.0,6.45,mw,170.0,81.0,-17.0,263.0,73.0,-171.0,17.546748481964613,37.21963467442197,71.51556066169412,198.2805165791776,5.630573755034519,305.4332266329947,-0.19,1.73,-1.54,0.72,1.93,-5.28,gem,292_gem
681554,1978-06-28T07:27:54,-70.127,-27.534,90.6,5.13,mw,8.0,71.0,-66.0,134.0,30.0,-139.0,42.284134865410365,259.87995860063995,27.717710689204388,18.42287599757549,35.12229441368833,130.11179823245322,-3.2,-1.55,4.75,-0.68,-4.25,-1.93,gem,293_gem
B062878C,1978-06-28T07:28:03,-69.92,-27.2,119.7,5.3,mw,134.0,30.0,-139.0,8.0,71.0,-66.0,22.0,80.0,22.0,179.0,58.0,310.0,-3.199e+16,-1.551e+16,4.75e+16,-6840000000000001.0,-4.245e+16,-1.926e+16,gcmt,293_gcmt
B082178A,1978-08-21T00:28:22,-67.77,-31.27,10.0,5.3,mwc,218.0,9.0,79.0,49.0,81.0,92.0,54.0,321.0,2.0,228.0,36.0,137.0,,,,,,,us,230_us
678318,1978-08-21T00:28:26,-67.965,-31.304,26.0,5.32,mw,49.0,81.0,92.0,218.0,9.0,79.0,44.950752366359104,141.40382810566854,2.076933509709724,49.32909992025509,44.97399313206895,317.2526871779919,5.1,-2.21,-2.89,8.36,7.07,0.25,gem,230_gem
672797,1978-12-21T01:13:54,-72.703,-36.286,30.0,5.85,mw,101.0,34.0,52.0,324.0,64.0,112.0,31.947842090407622,272.31016906485445,30.28015885928362,160.9570223621215,43.03647904424201,37.920047360127,5.48,-4.29,-1.19,-1.29,4.27,2.87,gem,14_gem
B122178B,1978-12-21T01:13:55,-72.46,-36.29,47.0,5.8,mwc,101.0,34.0,52.0,324.0,64.0,112.0,64.0,271.0,20.0,134.0,16.0,38.0,,,,,,,us,14_us
B122178B,1978-12-21T01:13:57,-72.57,-36.4,50.0,5.6,mw,101.0,34.0,52.0,324.0,64.0,112.0,64.0,271.0,20.0,134.0,16.0,38.0,5.478e+17,-4.288e+17,-1.19e+17,-1.293e+17,4.274e+17,2.866e+17,gcmt,14_gcmt
B032079B,1979-03-20T21:41:21,-71.15,-35.68,91.0,5.4,mwc,141.0,24.0,-158.0,32.0,81.0,-68.0,33.0,103.0,22.0,208.0,49.0,326.0,,,,,,,us,15_us
668598,1979-03-20T21:41:22,-71.259,-35.675,92.6,5.38,mw,32.0,81.0,-68.0,141.0,24.0,-158.0,41.94584362230861,283.70039436877914,22.71733558588636,35.8020706388312,39.469043753219154,145.96804062914424,-0.45,-0.28,0.73,-0.83,-1.01,-0.17,gem,15_gem
B032079B,1979-03-20T21:41:27,-71.42,-35.79,122.7,5.5,mw,141.0,24.0,-158.0,32.0,81.0,-68.0,33.0,103.0,22.0,208.0,49.0,326.0,-4.52e+16,-2.82e+16,7.35e+16,-8.35e+16,-1.012e+17,-1.7399999999999998e+16,gcmt,15_gcmt
B042679A,1979-04-26T02:00:09,-71.9,-33.82,38.0,5.9,mwc,26.0,25.0,124.0,170.0,70.0,76.0,63.0,57.0,13.0,175.0,23.0,271.0,,,,,,,us,16_us
667197,1979-04-26T02:00:09,-72.068,-33.901,26.5,5.9,mw,26.0,25.0,124.0,170.0,70.0,76.0,40.598258694441625,56.45092306859499,17.814943358629925,162.43770255343247,44.02128096164302,270.53052427992344,5.15,1.31,-6.46,1.56,-6.17,-0.85,gem,16_gem
B042679A,1979-04-26T02:00:11,-72.07,-33.91,33.7,5.8,mw,26.0,25.0,124.0,170.0,70.0,76.0,63.0,57.0,13.0,175.0,23.0,271.0,5.149e+17,1.315e+17,-6.464e+17,1.557e+17,-6.172e+17,-8.55e+16,gcmt,16_gcmt
667302,1979-04-28T11:38:20,-70.92,-27.556,27.8,6.13,mw,31.0,24.0,68.0,234.0,68.0,99.0,42.859286963452895,161.39186133413625,12.136318319919072,59.881383507408486,44.60622703256223,317.6354211412994,1.31,-0.61,-0.7,-1.16,-0.72,-0.83,gem,294_gem
B042879E,1979-04-28T11:38:25,-71.17,-27.39,21.1,6.1,mw,31.0,24.0,68.0,234.0,68.0,99.0,66.0,161.0,9.0,51.0,22.0,317.0,1.307e+18,-6.07e+17,-7e+17,-1.162e+18,-7.19e+17,-8.27e+17,gcmt,294_gcmt
