id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups
69439,1995-11-17T02:40:50,-79.678,-44.873,15.0,5.75,mw,259.0,79.0,171.0,351.0,81.0,11.0,1.5555536889174577,215.0607408609469,76.21838884585704,311.41719669123955,13.690084489393666,124.68172704236622,-0.66,2.02,-1.35,-1.25,0.97,-4.76,gem,
B113095B,1995-11-30T13:15:44,-71.48,-27.93,15.0,5.4,mw,12.0,21.0,109.0,171.0,70.0,83.0,64.0,69.0,7.0,174.0,25.0,267.0,2.968e+17,1.62e+16,-3.131e+17,7.45e+16,-3.561e+17,-7199999999999999.0,gcmt,neic:72559;gem:72559
pde19970309114343260_33,1997-03-09T11:43:43,-71.147,-29.815,38.0,6.2,mwc,180.0,45.0,105.0,339.0,47.0,75.0,5.295705567405189,174.6815281606007,44.99999999999999,270.00000000000017,44.51189979919962,79.45316110078898,1.89e+18,2000000000000000.0,-1.892e+18,-2.09e+17,-7.88e+17,-3.04e+17,us,gcmt:C030997B;neic:1015384;gem:1015384
B051797B,1997-05-17T02:10:26,-70.06,-27.06,121.1,5.5,mw,251.0,23.0,-168.0,150.0,85.0,-67.0,36.0,220.0,23.0,328.0,45.0,83.0,-4.66e+16,1.03e+17,-5.639999999999999e+16,-8.46e+16,1.991e+17,-3.94e+16,gcmt,neic:1027534;gem:1027534
pde19970706095400760_19,1997-07-06T09:54:00,-71.872,-30.058,23.0,6.8,mwc,350.0,25.0,90.0,170.0,65.0,90.0,45.000000000000014,80.0,4.770832022195277e-15,170.0,44.99999999999999,260.0,1.315e+19,-8.8e+17,-1.227e+19,6.5e+17,-1.448e+19,1.7e+17,us,gcmt:C070697A;neic:1035633;gem:1035633
pde19970719122257310_26,1997-07-19T12:22:57,-71.684,-29.281,26.0,5.9,mwc,315.0,55.0,60.0,180.0,45.0,126.0,12.860679260604114,347.81556423275043,44.81098549602642,90.92472418042564,42.34665367452149,245.805427089543,4.92e+17,1.913e+17,-6.833e+17,-2.901e+17,-2.58e+17,2.502e+17,us,gcmt:B071997C;neic:1037644;gem:1037644
B072197G,1997-07-21T17:54:17,-71.78,-29.97,33.0,5.4,mwc,14.0,22.0,109.0,173.0,70.0,83.0,65.0,71.0,7.0,176.0,24.0,269.0,1.17,-0.13,-1.04,0.25,-1.24,-0.09,us,gem:1038043
pde19971015010333460_58,1997-10-15T01:03:33,-71.22,-30.933,58.0,7.1,mwc,175.0,85.0,-120.0,76.0,30.0,-10.0,38.772639572408025,110.01186933804826,30.2535182631348,352.0749786909064,36.51067545104992,236.49556840151448,-1.588e+19,1.69e+18,1.419e+19,-4.51e+18,4.588e+19,-7.99e+18,us,gcmt:C101597A;neic:1047434;gem:1047434
1050895,1997-11-05T06:09:15,-78.161,-43.908,15.0,5.56,mw,80.0,75.0,-173.0,349.0,84.0,-15.0,14.980595846577856,34.858294095379165,73.84465326995331,192.33507171981947,5.909682368569944,303.27110967072787,-0.14,1.0,-0.85,-0.16,-0.75,-2.39,gem,
1065281,1998-01-19T18:23:59,-79.488,-44.971,13.0,6.2,mw,168.0,87.0,-12.0,258.0,78.0,-177.0,6.0,213.0,78.0,334.0,10.0,122.0,30000000000.0,65000000000.0,-95000000000.0,11000000000.0,46000000000.0,-176000000000.0,neic,
pde19980401224256900_9,1998-04-01T22:42:56,-74.874,-40.316,9.0,6.7,mwc,350.0,65.0,-90.0,170.0,25.0,-90.0,44.99999999999999,260.0,3.1805546814635176e-15,170.0,45.000000000000014,80.0,-1.18e+19,8.1e+17,1.099e+19,1.5e+17,-3.5000000000000006e+17,3.72e+18,us,gcmt:C040198D;neic:1089488;gem:1089488
1146874,1998-06-22T07:55:08,-66.58,-27.845,148.0,5.4,mw,210.0,66.0,-18.0,307.0,73.0,-155.0,26.064196896339485,77.53676313691619,63.21335336993053,271.87407438326784,5.753560653420117,170.36158850259005,-0.35,-1.11,1.46,0.71,-0.01,-0.55,gem,
B071898D,1998-07-18T09:57:13,-70.84,-28.31,46.9,5.4,mwc,8.0,17.0,119.0,158.0,75.0,82.0,59.0,57.0,8.0,161.0,29.0,255.0,0.8,0.14,-0.94,0.58,-1.34,0.17,us,gem:1167371
pde19980903173758240_27,1998-09-03T17:37:58,-71.715,-29.45,27.0,6.6,mwc,215.0,70.0,100.0,8.0,22.0,64.0,42.91960047322896,321.0683347759985,12.168370968376864,219.5013658114048,44.5328763238511,117.25344272790552,3.39e+18,9.01e+17,-4.292e+18,-2.587e+18,-6.107e+18,3.5e+17,us,gcmt:C090398F;neic:1202810;gem:1202810
1310878,1998-10-09T10:24:29,-75.6,-47.635,15.0,5.13,mw,19.0,46.0,138.0,142.0,61.0,52.0,15.193498295144549,0.0939770380215918,45.97073608987067,106.40992709162254,40.06974461712022,256.88873220930105,4.17,2.21,-6.38,2.34,-1.07,1.68,gem,
pde19981214162524980_138,1998-12-14T16:25:24,-71.033,-38.214,135.0,6.0,mwb,350.0,85.0,-90.0,170.0,5.0,-90.0,45.00000000000001,260.0,3.1805546814635176e-15,350.0,45.00000000000004,80.0,-6000000000.0,-38000000000.0,43000000000.0,24000000000.0,-82000000000.0,36000000000.0,us,neic:1333806;gem:1333806
B030999E,1999-03-09T22:57:00,-66.7,-27.91,140.7,5.0,mw,212.0,69.0,-6.0,305.0,85.0,-159.0,11.0,77.0,68.0,318.0,19.0,170.0,-8380000000000000.0,-5.163e+16,6.001e+16,2.135e+16,-9920000000000000.0,-2.392e+16,gcmt,gem:1540427
